Date,Open,High,Low,Close,Adj Close,Volume
2023-05-16,108.199997,108.650002,107.199997,107.400002,107.400002,18587658
2023-05-17,107.400002,107.500000,105.550003,106.000000,106.000000,28895465
2023-05-18,106.500000,107.150002,105.099998,105.199997,105.199997,24208481
2023-05-19,105.599998,105.699997,104.050003,104.650002,104.650002,29848841
2023-05-22,105.000000,105.250000,104.300003,105.000000,105.000000,21588716
2023-05-23,105.099998,106.050003,105.000000,105.599998,105.599998,21304034
2023-05-24,105.099998,105.800003,104.900002,105.199997,105.199997,28454367
2023-05-25,105.000000,105.199997,104.300003,104.849998,104.849998,25885062
2023-05-26,105.000000,106.750000,104.949997,106.400002,106.400002,28362042
2023-05-29,107.000000,108.849998,106.300003,108.449997,108.449997,41062311
2023-05-30,108.949997,108.949997,106.900002,107.050003,107.050003,33475211
2023-05-31,106.400002,106.949997,105.599998,105.800003,105.800003,41249944
2023-06-01,105.900002,106.699997,105.800003,105.949997,105.949997,21211538
2023-06-02,106.500000,108.300003,106.500000,108.000000,108.000000,46686933
2023-06-05,108.650002,109.900002,107.800003,109.400002,109.400002,39642539
2023-06-06,109.750000,109.849998,108.300003,109.000000,109.000000,26751372
2023-06-07,109.500000,111.750000,108.900002,111.500000,111.500000,45157197
2023-06-08,111.500000,113.000000,110.949997,111.150002,111.150002,46380294
2023-06-09,111.250000,111.650002,108.650002,108.900002,108.900002,36392617
